udi,product_id,type,air_temperature,process_temperature,rotational_speed,torque,tool_wear,machine_failure,twf,hdf,pwf,osf,rnf,temp_difference,power_w,overstrain_index
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,10.100000000000023,6583.668172519938,8072.900000000001
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,10.0,5046.162255877581,5194.7
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,10.099999999999966,6770.195000339076,8114.400000000001
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,10.099999999999966,5180.988940594142,6123.599999999999
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,10.100000000000023,9700.923955019922,12548.7
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,10.100000000000023,4553.466280015094,4361.8
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,10.200000000000045,6918.415341735442,8918.0
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,10.200000000000045,6365.243707291351,8791.199999999999
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,10.100000000000023,5834.984755267442,7000.0
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,10.100000000000023,5415.299392674381,6524.599999999999
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,10.099999999999966,6743.878925877505,9526.800000000001
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,10.099999999999966,7328.487430808517,9867.4
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,10.099999999999966,6292.767164773034,8590.4
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,10.099999999999966,7539.508209350144,0.0
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,10.099999999999966,5564.367964087217,75.8
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,10.0,7550.870302780627,199.6
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,10.0,7212.573133866566,427.5
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,10.0,6208.038410905718,448.79999999999995
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,10.0,6168.716142858286,521.3000000000001
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,10.0,7088.187008735435,714.0
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,10.0,5062.906944721215,455.6
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,10.0,6601.5752506454,878.0
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,10.0,5141.656200571199,795.0
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,10.0,6716.599429668834,1220.4
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,10.0,6150.871896585896,1185.0
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,10.0,4736.2022526989,851.4
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,10.0,4771.765081537536,871.5
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,10.0,4901.062563183781,1002.7
94,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,9.899999999999977,6529.276731710786,1720.0
95,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,9.899999999999977,5418.388625450411,1339.8
96,M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,10.0,7385.067514499669,2296.8
97,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,10.0,5822.156585265283,1659.1
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,10.0,5479.461186636197,1495.0
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,9.900000000000034,5235.809732399285,1733.1000000000001
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,10.0,7081.275504897537,2442.0
101,L47280,L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,10.099999999999966,4848.524662040247,1425.0
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,10.0,4315.888571575121,1221.3
103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,10.0,6611.27229996948,2476.6
104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,10.0,6111.4972686609035,2551.5
105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,9.899999999999977,6590.014189680189,2864.4
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,9.899999999999977,5181.543955296278,2114.8
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,9.899999999999977,7339.022238173556,3395.0
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,10.0,7336.624155781315,3369.6
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,9.900000000000034,5550.84864370127,2452.5
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,9.800000000000011,5613.523417140386,2728.0
111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,9.800000000000011,4410.79608564007,1845.0
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,9.900000000000034,6828.408712210095,3654.0
113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,9.899999999999977,6196.372630185388,3515.5
114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,9.800000000000011,6520.208000917424,3854.7999999999997
115,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,9.800000000000011,5172.318144870235,2793.0
116,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,9.800000000000011,6848.326409633854,4432.900000000001
117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,9.800000000000011,5584.955867943742,3375.9
118,L47297,L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,9.800000000000011,5525.747318399087,3333.0
119,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,9.800000000000011,5023.0610778981845,2894.3
120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,9.800000000000011,6252.491946954014,4314.200000000001
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,9.800000000000011,6707.834386165319,4827.6
122,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,9.800000000000011,6721.919193228913,4532.0
123,L47302,L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,9.800000000000011,6955.171975782443,5678.400000000001
124,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,9.800000000000011,7026.318577410739,4947.599999999999
125,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,9.800000000000011,5317.0199024945805,3410.3999999999996
126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,9.700000000000045,5260.282739170751,3799.6000000000004
127,L47306,L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,9.600000000000023,8419.939550518684,7260.0
128,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,9.700000000000045,6880.559150259685,5673.0
129,L47308,L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,9.600000000000023,6414.943703071142,4786.400000000001
130,L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,9.600000000000023,5599.75276934215,4321.799999999999
131,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,9.599999999999966,6339.765390870739,5260.8
132,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,9.599999999999966,5038.580545606917,3601.0
133,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,9.699999999999989,6518.930419904965,5702.400000000001
134,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,9.699999999999989,7427.562791127228,6696.0
135,L47314,L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,9.599999999999966,7598.151272217154,7314.0
136,M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,9.699999999999989,5106.501778777529,3990.0
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,9.800000000000011,6795.683788735201,6535.1
138,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,9.900000000000034,7510.930188177988,8184.4
139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,9.800000000000011,7495.902903318317,7410.0
140,L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,9.800000000000011,7409.383441638454,8649.0
141,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,9.800000000000011,5712.158954487593,5667.7
142,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,9.800000000000011,5691.393027047365,5596.8
143,M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,9.799999999999955,5250.606633797693,4540.2
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,9.799999999999955,7440.705120394745,8282.0
145,M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,9.799999999999955,6176.203605349342,7165.599999999999
146,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,9.899999999999977,5323.61724706712,5779.2
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,9.899999999999977,6093.977653629385,6281.400000000001
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,10.0,6361.88220315201,7177.900000000001
149,M15008,M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,10.0,6931.610030880519,8688.0
150,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,9.900000000000034,6154.662751721227,7341.599999999999
151,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,9.900000000000034,6358.520699012669,7942.200000000001
152,M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,9.800000000000011,5760.50806542634,7068.8
153,M15012,M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,9.800000000000011,6800.919776491184,7831.0
154,L47333,L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,9.800000000000011,5230.751768227005,5238.0
155,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,9.800000000000011,5792.426646786813,7095.200000000001
156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,9.800000000000011,4119.9474377707265,3920.4
157,M15016,M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,9.700000000000045,7201.577559579002,9338.0
158,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,9.800000000000011,6732.747215908285,8961.0
159,M15018,M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,9.800000000000011,6278.996516974799,8440.0
160,L47339,L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,9.800000000000011,7240.009709707917,10058.0
161,L47340,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,9.800000000000011,8149.0190720486125,13111.2
162,L47341,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,9.800000000000011,7733.302588174585,11401.4
163,L47342,L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,9.800000000000011,5896.036372502203,0.0
164,M15023,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,9.800000000000011,6733.312702585931,87.6
165,M15024,M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,9.800000000000011,6574.725105432719,218.0
166,L47345,L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,9.899999999999977,4718.4627261816295,208.0
167,H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,9.800000000000011,5503.148795244265,326.0
168,H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,9.900000000000034,6550.032187175502,643.5
169,L47348,L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,9.900000000000034,9348.950386087232,1246.0
170,L47349,L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,9.900000000000034,8157.019661339754,1300.2
171,M15030,M,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,9.800000000000011,5900.958200992828,840.0
172,L47351,L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,9.900000000000034,7777.494324835082,1371.6
173,M15032,M,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,9.899999999999977,4190.800824084688,603.2
174,M15033,M,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,9.800000000000011,5614.727694324262,1078.4
175,L47354,L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,9.900000000000034,7973.341210859871,2040.5
176,L47355,L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,9.900000000000034,6295.437518528586,1609.5
177,L47356,L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,9.900000000000034,5879.4487632912505,1353.3000000000002
178,L47357,L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,10.0,4455.113486006709,877.4
179,L47358,L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,10.0,7548.953931261937,2158.6
180,L47359,L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,10.100000000000023,6800.417121666609,2241.0
181,L47360,L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,10.100000000000023,7707.635776194758,2345.2999999999997
182,H29595,H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,10.100000000000023,4622.413766785878,1185.8
183,M15042,M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,10.099999999999966,6759.681136925063,2597.4
184,L47363,L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,10.099999999999966,6329.209639554677,2319.9
185,L47364,L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,10.0,5341.775652604869,1805.4
186,L47365,L,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,10.0,5784.426057495671,2330.2000000000003
187,L47366,L,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,10.199999999999989,7629.462478997932,3528.0
188,L47367,L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,10.199999999999989,6224.008173561467,2801.5
189,L47368,L,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,10.199999999999989,5650.845537865033,2251.2000000000003
190,M15049,M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,10.099999999999966,6994.504715805386,2994.6
191,L47370,L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,10.199999999999989,7718.086807755701,3592.7999999999997
192,L47371,L,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,10.199999999999989,6036.423676215621,2560.4
193,H29606,H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,10.199999999999989,7583.427674647329,3936.7999999999997
194,H29607,H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,10.199999999999989,6079.903318541303,2802.6
195,M15054,M,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,10.300000000000011,3000.7026950518025,920.1999999999999
196,L47375,L,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,10.199999999999989,6527.569799702335,3818.1
197,H29610,H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,10.300000000000011,7422.955121901963,4504.5
198,M15057,M,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,10.200000000000045,6540.199002169767,3926.3999999999996
199,L47378,L,298.4,308.7,1588,35.0,99,0,0,0,0,0,0,10.300000000000011,5820.3239895506895,3465.0
200,L47379,L,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,10.200000000000045,7067.986567972853,4757.1
201,L47380,L,298.4,308.6,1609,35.0,103,0,0,0,0,0,0,10.200000000000045,5897.293009563639,3605.0
202,L47381,L,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,10.199999999999989,6795.264909714723,4326.0
203,M15062,M,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,10.100000000000023,6116.178241714753,3819.9
204,L47383,L,298.4,308.5,1490,37.9,110,0,0,0,0,0,0,10.100000000000023,5913.6292913623065,4169.0
205,L47384,L,298.4,308.5,1741,32.8,112,0,0,0,0,0,0,10.100000000000023,5980.000672157146,3673.5999999999995
206,M15065,M,298.5,308.6,1344,53.0,114,0,0,0,0,0,0,10.100000000000023,7459.397596683604,6042.0
207,L47386,L,298.5,308.7,1609,35.3,117,0,0,0,0,0,0,10.199999999999989,5947.841235359899,4130.099999999999
208,M15067,M,298.4,308.7,1421,60.7,119,1,0,0,1,0,0,10.300000000000011,9032.571061919716,7223.3
209,L47388,L,298.4,308.6,1591,36.7,122,0,0,0,0,0,0,10.200000000000045,6114.555085510398,4477.400000000001
210,L47389,L,298.4,308.6,1477,44.0,124,0,0,0,0,0,0,10.200000000000045,6805.527445716449,5456.0
211,L47390,L,298.4,308.7,1523,36.1,126,0,0,0,0,0,0,10.300000000000011,5757.523552405431,4548.6
212,L47391,L,298.5,308.7,1575,33.9,128,0,0,0,0,0,0,10.199999999999989,5591.249525226434,4339.2
213,H29626,H,298.4,308.7,1344,52.9,130,0,0,0,0,0,0,10.300000000000011,7445.323261595521,6877.0
214,L47393,L,298.4,308.7,1386,44.9,135,0,0,0,0,0,0,10.300000000000011,6516.856968753595,6061.5
215,M15074,M,298.3,308.6,1589,37.1,137,0,0,0,0,0,0,10.300000000000011,6173.428531838671,5082.7
216,L47395,L,298.3,308.6,1548,40.3,140,0,0,0,0,0,0,10.300000000000011,6532.879091286902,5642.0
217,L47396,L,298.3,308.6,1499,38.3,142,0,0,0,0,0,0,10.300000000000011,6012.13916500337,5438.599999999999
218,L47397,L,298.3,308.5,1664,31.6,144,0,0,0,0,0,0,10.199999999999989,5506.416051603997,4550.400000000001
219,L47398,L,298.3,308.6,1447,38.1,146,0,0,0,0,0,0,10.300000000000011,5773.273403575427,5562.6
220,M15079,M,298.3,308.5,1434,46.2,148,0,0,0,0,0,0,10.199999999999989,6937.767552481556,6837.6
221,L47400,L,298.3,308.5,1416,52.7,151,0,0,0,0,0,0,10.199999999999989,7814.523230245394,7957.700000000001
222,H29635,H,298.4,308.5,1827,24.3,153,0,0,0,0,0,0,10.100000000000023,4649.148720267926,3717.9
223,L47402,L,298.4,308.6,1304,45.0,158,0,0,0,0,0,0,10.200000000000045,6144.955230421635,7110.0
224,L47403,L,298.4,308.6,1569,34.4,160,0,0,0,0,0,0,10.200000000000045,5652.102174926468,5504.0
225,L47404,L,298.3,308.6,1584,29.3,162,0,0,0,0,0,0,10.300000000000011,4860.169498809554,4746.6
226,L47405,L,298.3,308.5,1362,53.8,164,0,0,0,0,0,0,10.199999999999989,7673.40288824614,8823.199999999999
227,L47406,L,298.3,308.4,1329,49.2,166,0,0,0,0,0,0,10.099999999999966,6847.28968405817,8167.200000000001
228,L47407,L,298.3,308.5,1539,36.1,168,0,0,0,0,0,0,10.199999999999989,5818.009682962545,6064.8
229,M15088,M,298.3,308.5,1629,37.1,170,0,0,0,0,0,0,10.199999999999989,6328.832648436246,6307.0
230,L47409,L,298.3,308.5,1538,32.2,173,0,0,0,0,0,0,10.199999999999989,5186.099264643983,5570.6
231,L47410,L,298.3,308.6,1570,34.8,175,0,0,0,0,0,0,10.300000000000011,5721.46854071773,6089.999999999999
232,L47411,L,298.3,308.4,1408,43.1,177,0,0,0,0,0,0,10.099999999999966,6354.897395485529,7628.7
233,L47412,L,298.2,308.4,1424,47.6,179,0,0,0,0,0,0,10.199999999999989,7098.156329422827,8520.4
234,L47413,L,298.2,308.4,1512,34.9,181,0,0,0,0,0,0,10.199999999999989,5525.935813958302,6316.9
235,L47414,L,298.2,308.4,1478,42.9,183,0,0,0,0,0,0,10.199999999999989,6639.881737068171,7850.7
236,M15095,M,298.1,308.3,1680,33.7,185,0,0,0,0,0,0,10.199999999999989,5928.8136558546585,6234.500000000001
237,L47416,L,298.1,308.3,1495,38.7,188,0,0,0,0,0,0,10.199999999999989,6058.718512080596,7275.6
238,M15097,M,298.0,308.1,1552,36.6,190,0,0,0,0,0,0,10.100000000000023,5948.417194013058,6954.0
